web-scraper-order,web-scraper-start-url,link,link-href,title,price,ratings,num_rates,screen_size,refresh_rate,chipset,GPU,sim_slot,RAM,internal_storage,battery,operating_system,type
1742969639-233,https://cellphones.com.vn/mobile.html,"Redmi Note 11R  
          Sắp về hàng Trả góp 0%  
    :
   
      Giá Liên Hệ",https://cellphones.com.vn/redmi-note-11r.html,Redmi Note 11R,,,,6.58 inches,,MediaTek MT6833 Mật độ 700 (7 nm),Mali-G57 MC2,2 SIM (Nano-SIM),4 GB,128 GB,5000 mAh,Android 12,https://cellphones.com.vn/mobile/xiaomi/redmi/note-11-series.html
1742969648-234,https://cellphones.com.vn/mobile.html,"Xiaomi Redmi Note 11 Pro 5G  
          Sắp về hàng Trả góp 0%  
    :
   
      5.590.000đ
     
        8.990.000đ
       
          Giảm 38%
           Smember giảm thêm
            đến 56.000đ 
            S-Student giảm thêm đến 280.000đ 
              Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng",https://cellphones.com.vn/xiaomi-redmi-note-11-pro-5g.html,Xiaomi Redmi Note 11 Pro 5G,5.590.000 đ,4.9/5,7,6.67 inches,120Hz,Snapdragon® 695,Qualcomm® Adreno™ 619,2 SIM (Nano-SIM),8 GB,128 GB,5000mAh,"MIUI 13, Android 11",https://cellphones.com.vn/mobile/xiaomi/redmi/note-11-series.html
1742969663-235,https://cellphones.com.vn/mobile.html,"Xiaomi Redmi Note 13 Pro 5G  
          Sắp về hàng Trả góp 0%  
    :
   
      Giá Liên Hệ
         
              Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng",https://cellphones.com.vn/xiaomi-redmi-note-13-pro-4g.html,Xiaomi Redmi Note 13 Pro 4G 8GB 128GB,5.990.000 đ,5.0/5,40,6.67 inches,"Tần số quét 120Hz
1300 nits
Kính cường lực Corning Gorilla Glass 5",MediaTek Helio G99-Ultra 8 nhân,Mali-G57 MC2,2 SIM (Nano-SIM),8 GB,128 GB,5000 mAh,Android 13,https://cellphones.com.vn/mobile/xiaomi/redmi/note-13-series.html
1742969672-236,https://cellphones.com.vn/mobile.html,"Xiaomi Redmi Note 13 Pro Plus 4G  
          Sắp về hàng Trả góp 0%  
    :
   
      Giá Liên Hệ
         
              Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng",https://cellphones.com.vn/xiaomi-redmi-note-13-pro-plus-4g.html,Xiaomi Redmi Note 13 Pro Plus 4G,,,,6.67 inches,Tần số quét 120Hz,Mediatek Dimensity 7200 Ultra (4 nm),Mali-G610 MC4,2 SIM (Nano-SIM),8 GB,256 GB,5000 mAh,Android 13,https://cellphones.com.vn/mobile/xiaomi/redmi/note-13-series.html
1742969681-237,https://cellphones.com.vn/mobile.html,"Xiaomi Redmi Note 13 Pro 5G  
          Sắp về hàng Trả góp 0%  
    :
   
      8.190.000đ
         
              Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng",https://cellphones.com.vn/xiaomi-redmi-note-13-pro-5g.html,Redmi Note 13 Pro 5G 12GB 512GB,9.290.000 đ,4.7/5,3,6.67 inches,"Tần số quét 120 Hz
1800 nits
Kính cường lực Corning Gorilla Glass Victus",Snapdragon 7s Gen 2 8 nhân,Adreno 710,2 SIM (Nano-SIM),12 GB,512 GB,5100 mAh,Android 13,https://cellphones.com.vn/mobile/xiaomi/redmi/note-13-series.html
1742969690-238,https://cellphones.com.vn/mobile.html,"Xiaomi Redmi Note 13 12GB 256GB  
          Sắp về hàng Trả góp 0%  
    :
   
      Giá Liên Hệ
         
              Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng",https://cellphones.com.vn/dien-thoai-xiaomi-redmi-note-13-12gb-256.html,Xiaomi Redmi Note 13 12GB 256GB,,,,6.67 inches,Tần số quét 120Hz,Snapdragon 685,,,12 GB,256 GB,5000 mAh,,https://cellphones.com.vn/mobile/xiaomi/redmi/note-13-series.html
1742969699-239,https://cellphones.com.vn/mobile.html,"Xiaomi Redmi Note 13 8GB 256GB  
          Sắp về hàng Trả góp 0%  
    :
   
      Giá Liên Hệ
         
              Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng",https://cellphones.com.vn/dien-thoai-xiaomi-redmi-note-13-8gb-256.html,Xiaomi Redmi Note 13 8GB 256GB,,,,6.67 inches,Tần số quét 120Hz,Snapdragon 685,,,8 GB,256 GB,5000 mAh,,https://cellphones.com.vn/mobile/xiaomi/redmi/note-13-series.html
1742969710-240,https://cellphones.com.vn/mobile.html,"Xiaomi Redmi Note 14 5G 8GB 256GB  
          Sắp về hàng Trả góp 0%  
    :
   
      Giá Liên Hệ
         
              Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng",https://cellphones.com.vn/dien-thoai-xiaomi-redmi-note-14-5g.html,Xiaomi Redmi Note 14 5G 8GB 256GB,,,,6.67 inches,"Tần số quét 120Hz
Độ sáng 2100 nits
Độ sâu màu 8 bit
Độ tương phản 5.000.000:1
Giải màu rộng DCI-P3
960Hz PWM dimming
Corning Gorilla Glass 5",MediaTek Dimensity 7025 - Ultra,IMG BXM-8-256,2 SIM (Nano-SIM),8 GB,256 GB,5110mAh,Xiaomi HyperOS,https://cellphones.com.vn/mobile/xiaomi/redmi/note-14-series.html
1742969721-241,https://cellphones.com.vn/mobile.html,"Xiaomi Redmi Note 14 Pro 5G 8GB 256GB  
          Sắp về hàng Trả góp 0%  
    :
   
      Giá Liên Hệ
         
              Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng",https://cellphones.com.vn/xiaomi-redmi-note-14-pro-5g-8gb-256gb.html,Xiaomi Redmi Note 14 Pro 5G 8GB 256GB,,,,6.67 inches,"Tần số quét 120 Hz
Độ sáng tối đa: 3000 nits
Kính cường lực Corning Gorilla Glass Victus 2",MediaTek Dimensity 7300-Ultra 8 nhân,Mali-G615 MC2,2 Nano-SIM,8 GB,256 GB,5110 mAh,Xiaomi HyperOS (Android 14),https://cellphones.com.vn/mobile/xiaomi/redmi/note-14-series.html
1742969735-242,https://cellphones.com.vn/mobile.html,"Xiaomi 12S  
          Hết hàng Trả góp 0%  
    :
   
      Giá Liên Hệ",https://cellphones.com.vn/xiaomi-12s.html,Xiaomi 12S,Giá liên hệ,,,6.66 inches,,Qualcomm Snapdragon 875 (5 nm),Adreno 650,2 SIM (Nano-SIM),8 GB,128 GB,5000 mAh,Android 11,https://cellphones.com.vn/mobile/xiaomi/12-series.html
1742969745-243,https://cellphones.com.vn/mobile.html,"Xiaomi 12X  
          Sắp về hàng Trả góp 0%  
    :
   
      Giá Liên Hệ",https://cellphones.com.vn/xiaomi-12x.html,Xiaomi 12X,,,,6.28 inches,120Hz,Qualcomm Snapdragon ™ 870,Adreno 650,2 SIM (Nano-SIM),8 GB,128 GB,Li-Po 4500 mAh,"Android 12, MIUI 13",https://cellphones.com.vn/mobile/xiaomi/12-series.html
1742969754-244,https://cellphones.com.vn/mobile.html,"Xiaomi 12 Ultra  
          Sắp về hàng Trả góp 0%  
    :
   
      Giá Liên Hệ
         
              Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng",https://cellphones.com.vn/xiaomi-mi-12-ultra.html,Xiaomi 12 Ultra,,,,6.9 inches,,Snapdragon 895 8 nhân,Adreno 730,2 SIM (Nano-SIM),8 GB,128 GB,5000 mAh,Android 11,https://cellphones.com.vn/mobile/xiaomi/12-series.html
1742969763-245,https://cellphones.com.vn/mobile.html,"Xiaomi 12T 8GB 128GB  
          Sắp về hàng Trả góp 0%  
    :
   
      5.490.000đ
     
        8.990.000đ
       
          Giảm 39%
           Smember giảm thêm
            đến 55.000đ 
            S-Student giảm thêm đến 275.000đ 
              Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng",https://cellphones.com.vn/xiaomi-mi-12t.html,Xiaomi 12T 8GB 128GB,5.490.000 đ,5.0/5,160,6.67 inches,"1 tỉ màu,  Tần số quét 120 Hz, Dolby Vision, HDR10+, 500 nits, Kính cường lực Corning Gorilla Glass 5",MediaTek Dimensity 8100 Ultra 8 nhân,Mali G610 MC6,2 SIM (Nano-SIM),8 GB,128 GB,5000mAh,"Android 12, MIUI 13",https://cellphones.com.vn/mobile/xiaomi/12-series.html
1742969774-246,https://cellphones.com.vn/mobile.html,"Xiaomi 13T 12GB 256GB  
          Sắp về hàng Trả góp 0%  
    :
   
      10.590.000đ
     
        12.990.000đ
       
          Giảm 18%
           Smember giảm thêm
            đến 106.000đ 
            S-Student giảm thêm đến 300.000đ 
              Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng",https://cellphones.com.vn/xiaomi-13t.html,Xiaomi 13T 12GB 256GB,10.590.000 đ,4.9/5,22,6.67 inches,"Tần số quét 144 Hz
Dolby Vision, HDR10+, 2600 nits
 Kính cường lực Corning Gorilla Glass 5",MediaTek Dimensity 8200-Ultra,Mali-G610,2 SIM (Nano-SIM),12 GB,256 GB,5.000 mAh,Android 13,https://cellphones.com.vn/mobile/xiaomi/13-series.html
1742969782-247,https://cellphones.com.vn/mobile.html,"Xiaomi 13T Pro 5G 12GB 512GB - Chỉ có tại CellphoneS  
          Sắp về hàng Trả góp 0%  
    :
   
      Giá Liên Hệ
        Smember giảm thêm
            đến 148.000đ 
            S-Student giảm thêm đến 300.000đ 
              Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng",https://cellphones.com.vn/xiaomi-13t-pro.html,Xiaomi 13T Pro 5G 12GB 512GB - Chỉ có tại CellphoneS,Giá liên hệ,5.0/5,29,6.67 inches,"Tần số quét 144 Hz, 446 ppi, 1200 nit, 68 tỷ màu
Màn hình TrueColor
Corning®️ Gorilla®️ Glass 5",MediaTek Dimensity 9200+,Arm Immortalis-G715,2 Nano SIM hoặc 1 Nano + 1 eSIM,12 GB,512 GB,5.000 mAh,Android 13,https://cellphones.com.vn/mobile/xiaomi/13-series.html
1742969797-248,https://cellphones.com.vn/mobile.html,"Xiaomi 13 Pro (12GB - 256GB)   Trả góp 0%  
    :
   
      24.490.000đ
     
        29.990.000đ
       
          Giảm 18%
           Smember giảm thêm
            đến 245.000đ 
            S-Student giảm thêm đến 300.000đ 
              Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng",https://cellphones.com.vn/xiaomi-13-pro.html,Xiaomi 13 Pro (12GB - 256GB),24.490.000 đ,,,6.73 inches,,Chip Snapdragon® 8 Gen 2,,2 SIM (Nano-SIM),12 GB,256 GB,4820mAh,Android 13,https://cellphones.com.vn/mobile/xiaomi/13-series.html
1742969809-249,https://cellphones.com.vn/mobile.html,"Xiaomi 14 Ultra 12GB 512GB  
          Sắp về hàng Trả góp 0%  
    :
   
      Giá Liên Hệ
         
              Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng",https://cellphones.com.vn/xiaomi-14-ultra-12gb-512gb.html,Xiaomi 14 Ultra 12GB 512GB,,,,6.73 inches,"Tần số quét 120Hz, 1 tỷ màu, Dolby Vision, 2600 nits (tối đa)
 Tỷ lệ 20:9 
Corning Gorilla Glass Victus 2",Qualcomm Snapdragon 8 Gen 3 (4 nm),Adreno 750,2 SIM (Nano-SIM),12 GB,512 GB,5300 mAh,Android 14,https://cellphones.com.vn/mobile/xiaomi/14-series.html
1742969817-250,https://cellphones.com.vn/mobile.html,"Xiaomi 14 Ultra 5G 16GB 512GB   Trả góp 0%  
    :
   
      24.090.000đ
     
        32.990.000đ
       
          Giảm 27%
           Smember giảm thêm
            đến 241.000đ 
            S-Student giảm thêm đến 300.000đ 
              Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng",https://cellphones.com.vn/xiaomi-14-ultra.html,Xiaomi 14 Ultra 5G 16GB 512GB,24.090.000₫,4.7/5,3,6.73 inches,"Tần số quét màn hình 120 Hz 
HBM 1.000 nit
Công nghệ Dolby Vision®
TrueColor
Điều chỉnh cường độ sáng DC/Điều chỉnh cường độ sáng PWM 1920Hz",Snapdragon 8 Gen 3,Qualcomm® Adreno™ GPU,2 SIM (Nano-SIM),16 GB,512 GB,5.000 mAh,Xiaomi HyperOS,https://cellphones.com.vn/mobile/xiaomi/14-series.html
1742969829-251,https://cellphones.com.vn/mobile.html,"Xiaomi Redmi Note 12 4GB 128GB 6.67 inches4 GB128 GB 
          Sắp về hàng Trả góp 0%  
    :
   
      3.790.000đ
     
        4.990.000đ
       
          Giảm 24%
           Smember giảm thêm
            đến 38.000đ 
            S-Student giảm thêm đến 190.000đ 
              Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng",https://cellphones.com.vn/xiaomi-redmi-note-12.html,Xiaomi Redmi Note 12 4GB 128GB,3.790.000 đ,4.9/5,53,6.67 inches,"Tần số quét 120Hz, độ sáng 1200nits  
 Corning® Gorilla® Glass 3",Qualcomm Snapdragon 685,Adreno™ 610,2 SIM (Nano-SIM),4 GB,128 GB,5000mAh,Android 13,https://cellphones.com.vn/mobile/xiaomi.html
1742969838-252,https://cellphones.com.vn/mobile.html,"Xiaomi 14 12GB 256GB 6.36 inches12 GB256 GB 
          Sắp về hàng Trả góp 0%  
    :
   
      18.990.000đ
     
        22.990.000đ
       
          Giảm 17%
           Smember giảm thêm
            đến 190.000đ 
            S-Student giảm thêm đến 300.000đ 
              Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng",https://cellphones.com.vn/xiaomi-14.html,Xiaomi 14 12GB 256GB,18.990.000₫,4.9/5,18,6.36 inches,"Tần số quét màn hình 120 Hz, Màn hình siêu thị 1,5K, 68 tỷ màu, Dolby Vision, HDR10+, 2800 nits, HDR Vivid",Qualcomm Snapdragon 8 Gen 3 (4 nm),Adreno 750,2 SIM (Nano-SIM),12 GB,256 GB,4610 mAh,Android 14,https://cellphones.com.vn/mobile/xiaomi.html
1742969846-253,https://cellphones.com.vn/mobile.html,"Xiaomi POCO X7 Pro 5G 12GB 256GB - Chỉ có tại CellphoneS 6.67 inches12 GB256 GB 
          Hết hàng Trả góp 0%  
    :
   
      9.190.000đ
          
              Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng",https://cellphones.com.vn/dien-thoai-poco-x7-pro-5g.html,Xiaomi POCO X7 Pro 5G 12GB 256GB - Chỉ có tại CellphoneS,9.190.000₫,5.0/5,19,6.67 inches,120Hz,Dimensity 8400-Ultra,Mali G615,2 SIM (Nano-SIM),12 GB,256 GB,,Android 14,https://cellphones.com.vn/mobile/xiaomi.html
1742969854-254,https://cellphones.com.vn/mobile.html,"Xiaomi POCO M5 (6GB 128GB) 6.58 inches6 GB128 GB 
          Sắp về hàng Trả góp 0%  
    :
   
      2.990.000đ
     
        4.690.000đ
       
          Giảm 36%
           Smember giảm thêm
            đến 30.000đ 
            S-Student giảm thêm đến 150.000đ 
              Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng",https://cellphones.com.vn/xiaomi-poco-m5.html,Xiaomi POCO M5 (6GB 128GB),2.990.000 đ,4.9/5,21,6.58 inches,"Kính cường lực Corning Gorilla Glass 3 
 Tần số quét 90 Hz, 500 nits",MediaTek Helio G99 (6nm),Mali-G57 MC2,2 SIM (Nano-SIM),6 GB,128 GB,Li-Po 5000 mAh,"Android 12, MIUI 13",https://cellphones.com.vn/mobile/xiaomi.html
1742969864-255,https://cellphones.com.vn/mobile.html,"Xiaomi 13 8GB 256GB 6.36 inches8 GB256 GB 
          Sắp về hàng Trả góp 0%  
    :
   
      16.490.000đ
     
        22.990.000đ
       
          Giảm 28%
           Smember giảm thêm
            đến 165.000đ 
            S-Student giảm thêm đến 300.000đ 
              Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng",https://cellphones.com.vn/xiaomi-13.html,Xiaomi 13 8GB 256GB,16.490.000 đ,5.0/5,5,6.36 inches,120Hz,Chip Snapdragon® 8 thế hệ thứ 2,GPU Qualcomm® Adreno™,2 SIM (Nano-SIM),8 GB,256 GB,Pin 4500mAh,"MIUI 14, Android 13",https://cellphones.com.vn/mobile/xiaomi.html
1742969872-256,https://cellphones.com.vn/mobile.html,"Xiaomi Redmi Note 13 Pro 8GB 256GB  6.67 inches8 GB256 GB  Trả góp 0%  
    :
   
      6.290.000đ
     
        7.990.000đ
       
          Giảm 21%
           Smember giảm thêm
            đến 63.000đ 
            S-Student giảm thêm đến 300.000đ 
              Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng",https://cellphones.com.vn/dien-thoai-xiaomi-redmi-note-13-pro-8gb-256gb.html,Xiaomi Redmi Note 13 Pro 8GB 256GB,6.290.000 đ,4.9/5,8,6.67 inches,"Tần số quét 120Hz
1300 nits
Kính cường lực Corning Gorilla Glass 5",MediaTek Helio G99-Ultra 8 nhân,Mali-G57 MC2,2 SIM (Nano-SIM),8 GB,256 GB,5000 mAh,Android 13,https://cellphones.com.vn/mobile/xiaomi.html
1742969881-257,https://cellphones.com.vn/mobile.html,"Xiaomi POCO X6 Pro 5G 8GB 256GB - Chỉ có tại CellphoneS 6.67 inches8 GB256 GB  Trả góp 0%  
    :
   
      8.490.000đ
     
        9.990.000đ
       
          Giảm 15%
           Smember giảm thêm
            đến 85.000đ 
            S-Student giảm thêm đến 300.000đ 
              Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng",https://cellphones.com.vn/dien-thoai-xiaomi-poco-x6-pro.html,Xiaomi POCO X6 Pro 5G 8GB 256GB - Chỉ có tại CellphoneS,8.490.000₫,4.9/5,173,6.67 inches,120Hz,Dimensity 8300-Ultra,Mali G615,2 SIM (Nano-SIM),8 GB,256 GB,5000 mAh,Android 14,https://cellphones.com.vn/mobile/xiaomi.html
1742969889-258,https://cellphones.com.vn/mobile.html,"Xiaomi Redmi Note 13 Pro Plus 5G 8GB 256GB 6.67 inches8 GB256 GB  Trả góp 0%  
    :
   
      8.290.000đ
     
        10.990.000đ
       
          Giảm 25%
           Smember giảm thêm
            đến 83.000đ 
            S-Student giảm thêm đến 300.000đ 
              Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng",https://cellphones.com.vn/xiaomi-redmi-note-13-pro-plus.html,Xiaomi Redmi Note 13 Pro Plus 5G 8GB 256GB,8.290.000 đ,4.9/5,39,6.67 inches,Tần số quét 120Hz,Mediatek Dimensity 7200 Ultra (4 nm),Mali-G610 MC4,2 SIM (Nano-SIM),8 GB,256 GB,5000 mAh,Android 13,https://cellphones.com.vn/mobile/xiaomi.html
1742969901-259,https://cellphones.com.vn/mobile.html,"Redmi Note 13 Pro 5G 12GB 512GB 6.67 inches12 GB512 GB  Trả góp 0%  
    :
   
      9.290.000đ
     
        10.990.000đ
       
          Giảm 15%
           Smember giảm thêm
            đến 93.000đ 
            S-Student giảm thêm đến 300.000đ 
              Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng",https://cellphones.com.vn/dien-thoai-redmi-note-13-pro-5g.html,Redmi Note 13 Pro 5G 12GB 512GB,9.290.000 đ,4.7/5,3,6.67 inches,"Tần số quét 120 Hz
1800 nits
Kính cường lực Corning Gorilla Glass Victus",Snapdragon 7s Gen 2 8 nhân,Adreno 710,2 SIM (Nano-SIM),12 GB,512 GB,5100 mAh,Android 13,https://cellphones.com.vn/mobile/xiaomi.html
1742969911-260,https://cellphones.com.vn/mobile.html,"Xiaomi Redmi 14C 4GB 128GB 6.88 inches4 GB128 GB  Trả góp 0%  
    :
   
      2.690.000đ
     
        3.290.000đ
       
          Giảm 18%
           Smember giảm thêm
            đến 27.000đ 
            S-Student giảm thêm đến 135.000đ 
              Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng",https://cellphones.com.vn/dien-thoai-xiaomi-redmi-14c.html,Xiaomi Redmi 14C 4GB 128GB,2.690.000₫,4.8/5,30,6.88 inches,120Hz,MediaTek Helio G81-Ultra,,2 SIM (Nano-SIM),4 GB,128 GB,5160mAh,,https://cellphones.com.vn/mobile/xiaomi.html
1742969919-261,https://cellphones.com.vn/mobile.html,"Xiaomi Redmi Note 13 6GB 128GB 6.67 inches6 GB128 GB  Trả góp 0%  
    :
   
      3.990.000đ
     
        4.890.000đ
       
          Giảm 18%
           Smember giảm thêm
            đến 40.000đ 
            S-Student giảm thêm đến 200.000đ 
              Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng",https://cellphones.com.vn/xiaomi-redmi-note-13.html,Xiaomi Redmi Note 13 6GB 128GB,3.990.000 đ,5.0/5,47,6.67 inches,Tần số quét 120Hz,Snapdragon 685,Adreno 610,2 SIM (Nano-SIM),6 GB,128 GB,5000 mAh,Android 13,https://cellphones.com.vn/mobile/xiaomi.html
1742969927-262,https://cellphones.com.vn/mobile.html,"Xiaomi Redmi Note 13 Pro 5G 8GB 256GB  6.67 inches8 GB256 GB  Trả góp 0%  
    :
   
      7.790.000đ
     
        9.490.000đ
       
          Giảm 18%
           Smember giảm thêm
            đến 78.000đ 
            S-Student giảm thêm đến 300.000đ 
              Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng",https://cellphones.com.vn/dien-thoai-xiaomi-redmi-note-13-pro-5g-8gb-256gb.html,Xiaomi Redmi Note 13 Pro 5G 8GB 256GB,7.790.000 đ,4.8/5,17,6.67 inches,"Tần số quét 120Hz, 1800 nits
Kính cường lực Corning Gorilla Glass Victus",Snapdragon 7s Gen 2 8 nhân,Adreno 710,Dual nano-SIM hoặc 1 nano-SIM + 1 eSIM,8 GB,256 GB,5100 mAh,Android 13,https://cellphones.com.vn/mobile/xiaomi.html
1742969936-263,https://cellphones.com.vn/mobile.html,"Xiaomi Redmi Note 13 Pro 4G 8GB 128GB 6.67 inches8 GB128 GB  Trả góp 0%  
    :
   
      5.990.000đ
     
        7.290.000đ
       
          Giảm 18%
           Smember giảm thêm
            đến 60.000đ 
            S-Student giảm thêm đến 300.000đ 
              Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng",https://cellphones.com.vn/xiaomi-redmi-note-13-pro.html,Xiaomi Redmi Note 13 Pro 4G 8GB 128GB,5.990.000 đ,5.0/5,40,6.67 inches,"Tần số quét 120Hz
1300 nits
Kính cường lực Corning Gorilla Glass 5",MediaTek Helio G99-Ultra 8 nhân,Mali-G57 MC2,2 SIM (Nano-SIM),8 GB,128 GB,5000 mAh,Android 13,https://cellphones.com.vn/mobile/xiaomi.html
1742969944-264,https://cellphones.com.vn/mobile.html,"Xiaomi Redmi Note 14 Pro Plus 5G 8GB 256GB 6.67 inches8 GB256 GB  Trả góp 0%  
    :
   
      9.790.000đ
     
        10.990.000đ
       
          Giảm 11%
           Smember giảm thêm
            đến 98.000đ 
            S-Student giảm thêm đến 300.000đ 
              Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng",https://cellphones.com.vn/dien-thoai-xiaomi-redmi-note-14-pro-plus.html,Xiaomi Redmi Note 14 Pro Plus 5G 8GB 256GB,9.790.000 đ,4.9/5,14,6.67 inches,"Tần số quét: Lên đến 120Hz
  Độ sáng: 3000 nits  
 Độ sâu màu: 12-bit 
 Tỷ lệ tương phản: 5,000,000:1",Snapdragon® 7s Gen 3,Qualcomm® Adreno™ GPU,2 Nano-SIM,8 GB,256 GB,5110 mAh,Android 14,https://cellphones.com.vn/mobile/xiaomi.html
1742969953-265,https://cellphones.com.vn/mobile.html,"Xiaomi 14T 12GB 512GB 6.67 inches12 GB512 GB  Trả góp 0%  
    :
   
      10.990.000đ
     
        13.990.000đ
       
          Giảm 21%
           Smember giảm thêm
            đến 110.000đ 
            S-Student giảm thêm đến 300.000đ 
              Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng",https://cellphones.com.vn/xiaomi-14t.html,Xiaomi 14T 12GB 512GB,10.990.000 đ,5.0/5,33,6.67 inches,Từ 144Hz trở lên,MediaTek Dimensity 8300-Ultra,Arm Mali-G615 MC6,Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim,12 GB,512 GB,5000 mAh,,https://cellphones.com.vn/mobile/xiaomi.html
1742969969-266,https://cellphones.com.vn/mobile.html,"Samsung Galaxy S25 Plus 512GB   Trả góp 0%  
    :
   
      25.990.000đ
     
        30.490.000đ
       
          Giảm 15%
           Smember giảm thêm
            đến 260.000đ 
            S-Student giảm thêm đến 600.000đ 
              Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng",https://cellphones.com.vn/dien-thoai-samsung-galaxy-s25-plus-512gb.html,Samsung Galaxy S25 Plus 512GB,25.990.000 đ,,,6.7 inches,120Hz,Snapdragon 8 Elite dành cho Galaxy (3nm),,2 Nano-SIM + eSIM,12 GB,512 GB,4900 mAh,Android 17,https://cellphones.com.vn/mobile/samsung/galaxy-s/s25-series.html
1742969982-267,https://cellphones.com.vn/mobile.html,"Samsung Galaxy S25 512GB   Trả góp 0%  
    :
   
      22.490.000đ
     
        26.490.000đ
       
          Giảm 15%
           Smember giảm thêm
            đến 225.000đ 
            S-Student giảm thêm đến 600.000đ 
              Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng",https://cellphones.com.vn/dien-thoai-samsung-galaxy-s25-512gb.html,Samsung Galaxy S25 512GB,22.490.000 đ,,,6.2 inches,120Hz,Snapdragon 8 Elite dành cho Galaxy (3nm),,2 Nano-SIM + eSIM,12 GB,512 GB,4000 mAh,Android 17,https://cellphones.com.vn/mobile/samsung/galaxy-s/s25-series.html
1742969994-268,https://cellphones.com.vn/mobile.html,"Samsung Galaxy Z Fold6 12GB 1TB  
          Sắp về hàng Trả góp 0%  
    :
   
      45.990.000đ
     
        54.990.000đ
       
          Giảm 16%
           Smember giảm thêm
            đến 460.000đ 
            S-Student giảm thêm đến 600.000đ 
              Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng",https://cellphones.com.vn/samsung-galaxy-z-fold-6-1tb.html,Samsung Galaxy Z Fold6 12GB 1TB,45.990.000 đ,,,7.6 inches,120Hz,Snapdragon 8 Gen 3 for Galaxy Tăng lên 42% AI,,SIM 1 + SIM 2 / SIM 1 + eSIM / 2 eSIM,12 GB,1 TB,4400 mAh,Android,https://cellphones.com.vn/mobile/samsung/galaxy-z/z6-series.html
1742970003-269,https://cellphones.com.vn/mobile.html,"Samsung Galaxy Z Fold6 12GB 512GB   Trả góp 0%  
    :
   
      40.990.000đ
     
        47.990.000đ
       
          Giảm 15%
           Smember giảm thêm
            đến 410.000đ 
            S-Student giảm thêm đến 600.000đ 
              Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng",https://cellphones.com.vn/samsung-galaxy-z-fold-6-512gb.html,Samsung Galaxy Z Fold6 12GB 512GB,40.990.000 đ,,,7.6 inches,120Hz,Snapdragon 8 Gen 3 for Galaxy Tăng lên 42% AI,,SIM 1 + SIM 2 / SIM 1 + eSIM / 2 eSIM,12 GB,512 GB,4400 mAh,Android,https://cellphones.com.vn/mobile/samsung/galaxy-z/z6-series.html
